SAMPLE_NUMBER,SAMPLED_DATE,SAMPLE_NAME,SAMPLING_POINT_DESCRIPTION,SITE,FACILITY,ANALYTE,FORMATTED_ENTRY,UNITS,DEPTH,Target,Date,Time
1032394,1/25/22 8:46,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,6,ng/L,,MLOWM,1/25/22,8:46:00
1055977,1/27/22 8:45,PL-MAR-MLOWM-A-7,,Marston WTP MLOW Mid,Marston WTP,Geosmin,5,ng/L,,MLOWM,1/27/22,8:45:00
1032395,2/1/22 8:23,PL-MAR-MLOWM-6,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,4,ng/L,,MLOWM,2/1/22,8:23:00
1059940,2/3/22 8:28,PL-MAR-MLOWM-6,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,7,ng/L,,MLOWM,2/3/22,8:28:00
1046336,2/8/22 8:20,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,7,ng/L,,MLOWM,2/8/22,8:20:00
1065894,2/10/22 8:00,PL-MAR-MLOWM-A-7,,Marston WTP MLOW Mid,Marston WTP,Geosmin,7,ng/L,,MLOWM,2/10/22,8:00:00
1046337,2/15/22 9:52,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,7,ng/L,,MLOWM,2/15/22,9:52:00
1068133,2/17/22 10:49,PL-MAR-MLOWM-A,,Marston WTP MLOW Mid,Marston WTP,Geosmin,7,ng/L,,MLOWM,2/17/22,10:49:00
1046338,2/22/22 8:57,PL-MAR-MLOWM-7,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,7,ng/L,,MLOWM,2/22/22,8:57:00
1070572,2/24/22 9:16,PL-MAR-MLOWM-A,,Marston WTP MLOW Mid,Marston WTP,Geosmin,6,ng/L,,MLOWM,2/24/22,9:16:00
1046339,3/1/22 8:52,PL-MAR-MLOWM-A-7,,Marston WTP MLOW Mid,Marston WTP,Geosmin,7,ng/L,,MLOWM,3/1/22,8:52:00
1076368,3/3/22 8:37,PL-MAR-MLOWM-A-7,,Marston WTP MLOW Mid,Marston WTP,Geosmin,6,ng/L,,MLOWM,3/3/22,8:37:00
1077893,3/8/22 8:48,PL-MAR-MLOWH-A-4,,Marston WTP MLOW High,Marston WTP,Geosmin,5,ng/L,,MLOWH,3/8/22,8:48:00
1058906,3/8/22 8:50,PL-MAR-MLOWM-A-7,,Marston WTP MLOW Mid,Marston WTP,Geosmin,5,ng/L,,MLOWM,3/8/22,8:50:00
1077891,3/8/22 8:54,PL-MAR-MLOWL-A-10,,Marston WTP MLOW Low,Marston WTP,Geosmin,5,ng/L,,MLOWL,3/8/22,8:54:00
1078555,3/10/22 9:05,PL-MAR-MLOWM-7,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,5,ng/L,,MLOWM,3/10/22,9:05:00
1078551,3/10/22 9:07,PL-MAR-MLOWH-4,Marston WTP MLOW High,Marston WTP MLOW High,Marston WTP,Geosmin,5,ng/L,,MLOWH,3/10/22,9:07:00
1078549,3/10/22 9:09,PL-MAR-MLOWL-10,Marston WTP MLOW Low,Marston WTP MLOW Low,Marston WTP,Geosmin,5,ng/L,,MLOWL,3/10/22,9:09:00
1058907,3/15/22 10:01,PL-MAR-MLOWM-7,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,6,ng/L,,MLOWM,3/15/22,10:01:00
1081413,3/17/22 9:10,PL-MAR-MLOWM-A-7,,Marston WTP MLOW Mid,Marston WTP,Geosmin,5,ng/L,,MLOWM,3/17/22,9:10:00
1058908,3/22/22 9:00,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,6,ng/L,,MLOWM,3/22/22,9:00:00
