Date,TOC,TP,Turbidity
10/2/2020,3.507057662,0.019124349,1.196747107
10/3/2020,3.499848024,0.018,1.177189395
10/4/2020,3.492465303,0.016875651,1.157867136
10/5/2020,3.484920415,0.015755208,1.138785356
10/6/2020,3.477224277,0.014642578,1.119949082
10/7/2020,3.469387805,0.013541667,1.101363339
10/8/2020,3.461421917,0.01245638,1.083033154
10/9/2020,3.453337528,0.011390625,1.064963551
10/10/2020,3.445145557,0.010348307,1.047159558
10/11/2020,3.436856918,0.009333333,1.0296262
10/12/2020,3.428482529,0.008349609,1.012368503
10/13/2020,3.420033306,0.007401042,0.995391492
10/14/2020,3.411520167,0.006491536,0.978700195
10/15/2020,3.402954027,0.005625,0.962299636
10/16/2020,3.394345804,0.004805339,0.946194842
10/17/2020,3.385706414,0.004036458,0.930390839
10/18/2020,3.377046774,0.003322266,0.914892653
10/19/2020,3.3683778,0.002666667,0.899705308
10/20/2020,3.35971041,0.002073568,0.884833833
10/21/2020,3.351055519,0.001546875,0.870283252
10/22/2020,3.342424044,0.001090495,0.856058591
10/23/2020,3.333826903,0.000708333,0.842164876
10/24/2020,3.325275011,0.000404297,0.828607134
10/25/2020,3.316779285,0.000182292,0.81539039
10/26/2020,3.308350643,4.62E-05,0.80251967
10/27/2020,3.3,0,0.79
10/28/2020,3.291633177,0,0.777722072
10/29/2020,3.283143522,0,0.765575852
10/30/2020,3.274523244,0,0.753565278
10/31/2020,3.265764553,0,0.741694288
11/1/2020,3.256859659,0,0.729966817
11/2/2020,3.247800769,0,0.718386804
11/3/2020,3.238580095,0,0.706958186
11/4/2020,3.229189844,0,0.695684901
11/5/2020,3.219622227,0,0.684570886
11/6/2020,3.209869453,0,0.673620078
11/7/2020,3.199923731,0,0.662836414
11/8/2020,3.18977727,0,0.652223833
11/9/2020,3.179422281,0,0.64178627
11/10/2020,3.168850971,0,0.631527665
11/11/2020,3.158055551,0,0.621451953
11/12/2020,3.14702823,0,0.611563073
11/13/2020,3.135761217,0,0.601864962
11/14/2020,3.124246721,0,0.592361557
11/15/2020,3.112476953,0,0.583056795
11/16/2020,3.10044412,0,0.573954614
11/17/2020,3.088140434,0,0.565058952
11/18/2020,3.075558102,0,0.556373745
11/19/2020,3.062689334,0,0.547902931
11/20/2020,3.04952634,0,0.539650447
11/21/2020,3.036061329,0,0.531620231
11/22/2020,3.02228651,0,0.52381622
11/23/2020,3.008194092,0,0.516242352
11/24/2020,2.993776286,0,0.508902563
11/25/2020,2.9790253,0,0.501800792
11/26/2020,2.963933343,0,0.494940975
11/27/2020,2.948492626,0,0.48832705
11/28/2020,2.932695356,0,0.481962954
11/29/2020,2.916533745,0,0.475852625
11/30/2020,2.9,0,0.47
12/1/2020,2.880810384,0,0.464184361
12/2/2020,2.857206313,0,0.45822967
12/3/2020,2.829967731,0,0.452206885
