SAMPLE_NUMBER,SAMPLED_DATE,SAMPLE_NAME,SAMPLING_POINT_DESCRIPTION,SITE,FACILITY,ANALYTE,FORMATTED_ENTRY,UNITS,DEPTH,Target,Date,Time
951345,7/15/2021 8:58,WS-LP-021,Conduit #20 at Marston Forebay Influent,Conduit #20 at Marston Forebay Influent,Marston Forebay,Geosmin,2,ng/L,,FRBY,7/15/2021,8:58:00
925073,7/27/2021 7:59,WS-LP-021,Conduit #20 at Marston Forebay Influent,Conduit #20 at Marston Forebay Influent,Marston Forebay,Geosmin,2,ng/L,,FRBY,7/27/2021,7:59:00
966619,8/6/2021 8:22,WS-LP-021,,Conduit #20 at Marston Forebay Influent,Marston Forebay,Geosmin,2,ng/L,,FRBY,8/6/2021,8:22:00
973923,8/20/2021 8:36,WS-LP-021,Conduit #20 at Marston Forebay Influent,Conduit #20 at Marston Forebay Influent,Marston Forebay,Geosmin,3,ng/L,,FRBY,8/20/2021,8:36:00
962483,9/14/2021 8:10,WS-LP-021,Conduit #20 at Marston Forebay Influent,Conduit #20 at Marston Forebay Influent,Marston Forebay,Geosmin,2,ng/L,,FRBY,9/14/2021,8:10:00
962485,9/28/2021 8:00,WS-LP-021,Conduit #20 at Marston Forebay Influent,Conduit #20 at Marston Forebay Influent,Marston Forebay,Geosmin,2,ng/L,,FRBY,9/28/2021,8:00:00
1025834,11/18/2021 8:15,WS-LP-021,Conduit #20 at Marston Forebay Influent,Conduit #20 at Marston Forebay Influent,Marston Forebay,Geosmin,2,ng/L,,FRBY,11/18/2021,8:15:00
1029275,11/26/2021 7:38,WS-LP-021-A,Sampled at outfall,Conduit #20 at Marston Forebay Influent,Marston Forebay,Geosmin,2,ng/L,,FRBY,11/26/2021,7:38:00
1016349,12/7/2021 7:13,WS-LP-021-A,Sampled at outfall,Conduit #20 at Marston Forebay Influent,Marston Forebay,Geosmin,2,ng/L,,FRBY,12/7/2021,7:13:00
1036690,12/9/2021 8:12,WS-LP-021,Conduit #20 at Marston Forebay Influent,Conduit #20 at Marston Forebay Influent,Marston Forebay,Geosmin,2,ng/L,,FRBY,12/9/2021,8:12:00
1016350,12/14/2021 8:05,WS-LP-021,Conduit #20 at Marston Forebay Influent,Conduit #20 at Marston Forebay Influent,Marston Forebay,Geosmin,4,ng/L,,FRBY,12/14/2021,8:05:00
