Date,"Adjusted TOC, Downstream Strontia","Adjusted TP, Downstream Strontia","Adjusted turbidity, Downstream Strontia"
7/5/2020,2.735602513,0.01630506,2.578128604
7/6/2020,2.690379009,0.016425656,2.54794017
7/7/2020,2.645690996,0.016544824,2.517655502
7/8/2020,2.601691472,0.016662156,2.487344891
7/9/2020,2.558533434,0.016777244,2.457078628
7/10/2020,2.51636988,0.01688968,2.426927001
7/11/2020,2.475353807,0.016999057,2.396960302
7/12/2020,2.435638212,0.017104965,2.367248821
7/13/2020,2.397376093,0.017206997,2.337862847
7/14/2020,2.360720448,0.017304745,2.308872671
7/15/2020,2.325824274,0.017397802,2.280348583
7/16/2020,2.292840568,0.017485758,2.252360873
7/17/2020,2.261922328,0.017568207,2.224979831
7/18/2020,2.233222552,0.01764474,2.198275748
7/19/2020,2.206894236,0.017714949,2.172318913
7/20/2020,2.183090379,0.017778426,2.147179617
7/21/2020,2.161963978,0.017834763,2.12292815
7/22/2020,2.143668029,0.017883552,2.099634802
7/23/2020,2.128355532,0.017924385,2.077369863
7/24/2020,2.116179483,0.017956855,2.056203623
7/25/2020,2.10729288,0.017980552,2.036206372
7/26/2020,2.101848719,0.01799507,2.017448401
7/27/2020,2.1,0.018,2
7/28/2020,2.106667934,0.017985423,1.98262454
7/29/2020,2.125561981,0.017944606,1.964279376
7/30/2020,2.155017504,0.017881924,1.94532577
7/31/2020,2.193369868,0.017801749,1.926124984
8/1/2020,2.238954438,0.017708455,1.907038281
8/2/2020,2.290106579,0.017606414,1.888426924
8/3/2020,2.345161655,0.0175,1.870652174
8/4/2020,2.402455031,0.017393586,1.854075295
8/5/2020,2.460322071,0.017291545,1.839057548
8/6/2020,2.51709814,0.017198251,1.825960198
8/7/2020,2.571118603,0.017118076,1.815144505
8/8/2020,2.620718824,0.017055394,1.806971733
8/9/2020,2.664234168,0.017014577,1.801803144
8/10/2020,2.7,0.017,1.8
8/11/2020,2.731322676,0.017029333,1.801303704
8/12/2020,2.76258338,0.017114667,1.805096296
8/13/2020,2.793729718,0.017252,1.8112
8/14/2020,2.824709294,0.017437333,1.819437037
8/15/2020,2.855469714,0.017666667,1.82962963
8/16/2020,2.885958583,0.017936,1.8416
8/17/2020,2.916123507,0.018241333,1.85517037
8/18/2020,2.945912091,0.018578667,1.870162963
8/19/2020,2.97527194,0.018944,1.8864
8/20/2020,3.004150659,0.019333333,1.903703704
8/21/2020,3.032495854,0.019742667,1.921896296
8/22/2020,3.06025513,0.020168,1.9408
