Date,"Adjusted TOC, NF Above Conf.","Adjusted TP, NF Above Conf.","Adjusted turbidity, NF Above Conf."
9/5/2020,1.42289319,0,0.865031111
9/6/2020,1.413141935,0,0.854252308
9/7/2020,1.405958423,0,0.84641094
9/8/2020,1.401518996,0,0.84162188
9/9/2020,1.4,0,0.84
9/10/2020,1.401155599,0,0.841104239
9/11/2020,1.404557292,0,0.844354745
9/12/2020,1.410107422,0,0.849658203
9/13/2020,1.417708333,0,0.856921296
9/14/2020,1.42726237,0,0.866050709
9/15/2020,1.438671875,0,0.876953125
9/16/2020,1.451839193,0,0.889535229
9/17/2020,1.466666667,0,0.903703704
9/18/2020,1.483056641,0,0.919365234
9/19/2020,1.500911458,0,0.936426505
9/20/2020,1.520133464,0,0.954794198
9/21/2020,1.540625,0,0.974375
9/22/2020,1.562288411,0,0.995075593
9/23/2020,1.585026042,0,1.016802662
9/24/2020,1.608740234,0,1.039462891
9/25/2020,1.633333333,0,1.062962963
9/26/2020,1.658707682,0,1.087209563
9/27/2020,1.684765625,0,1.112109375
9/28/2020,1.711409505,0,1.137569083
9/29/2020,1.738541667,0,1.16349537
9/30/2020,1.766064453,0,1.189794922
10/1/2020,1.793880208,0,1.216374421
10/2/2020,1.821891276,0,1.243140553
10/3/2020,1.85,0,1.27
10/4/2020,1.878108724,0,1.296859447
10/5/2020,1.906119792,0,1.323625579
10/6/2020,1.933935547,0,1.350205078
10/7/2020,1.961458333,0,1.37650463
10/8/2020,1.988590495,0,1.402430917
10/9/2020,2.015234375,0,1.427890625
10/10/2020,2.041292318,0,1.452790437
10/11/2020,2.066666667,0,1.477037037
10/12/2020,2.091259766,0,1.500537109
10/13/2020,2.114973958,0,1.523197338
10/14/2020,2.137711589,0,1.544924407
10/15/2020,2.159375,0,1.565625
10/16/2020,2.179866536,0,1.585205802
10/17/2020,2.199088542,0,1.603573495
10/18/2020,2.216943359,0,1.620634766
10/19/2020,2.233333333,0,1.636296296
10/20/2020,2.248160807,0,1.650464771
10/21/2020,2.261328125,0,1.663046875
10/22/2020,2.27273763,0,1.673949291
10/23/2020,2.282291667,0,1.683078704
10/24/2020,2.289892578,0,1.690341797
10/25/2020,2.295442708,0,1.695645255
10/26/2020,2.298844401,0,1.698895761
10/27/2020,2.3,0,1.7
10/28/2020,2.299205341,0,1.699491146
10/29/2020,2.296865259,0,1.698005292
10/30/2020,2.293045597,0,1.695603501
10/31/2020,2.287812196,0,1.692346835
11/1/2020,2.2812309,0,1.688296357
11/2/2020,2.27336755,0,1.683513128
11/3/2020,2.264287989,0,1.678058213
11/4/2020,2.254058059,0,1.671992673
11/5/2020,2.242743603,0,1.66537757
11/6/2020,2.230410462,0,1.658273967
11/7/2020,2.21712448,0,1.650742927
11/8/2020,2.202951499,0,1.642845512
11/9/2020,2.18795736,0,1.634642784
11/10/2020,2.172207907,0,1.626195807
11/11/2020,2.155768982,0,1.617565642
11/12/2020,2.138706427,0,1.608813352
11/13/2020,2.121086084,0,1.6
11/14/2020,2.102973796,0,1.591186648
11/15/2020,2.084435405,0,1.582434358
11/16/2020,2.065536753,0,1.573804193
11/17/2020,2.046343684,0,1.565357216
11/18/2020,2.026922038,0,1.557154488
11/19/2020,2.00733766,0,1.549257073
11/20/2020,1.98765639,0,1.541726033
11/21/2020,1.967944071,0,1.53462243
11/22/2020,1.948266546,0,1.528007327
11/23/2020,1.928689657,0,1.521941787
11/24/2020,1.909279247,0,1.516486872
11/25/2020,1.890101157,0,1.511703643
11/26/2020,1.87122123,0,1.507653165
11/27/2020,1.852705308,0,1.504396499
11/28/2020,1.834619235,0,1.501994708
11/29/2020,1.817028851,0,1.500508854
11/30/2020,1.8,0,1.5
12/1/2020,1.781930153,0,1.502246094
12/2/2020,1.761497477,0,1.50859375
12/3/2020,1.739188861,0,1.518457031
12/4/2020,1.715491191,0,1.53125
12/5/2020,1.690891355,0,1.546386719
12/6/2020,1.665876241,0,1.56328125
12/7/2020,1.640932735,0,1.581347656
12/8/2020,1.616547725,0,1.6
12/9/2020,1.593208099,0,1.618652344
12/10/2020,1.571400744,0,1.63671875
12/11/2020,1.551612548,0,1.653613281
12/12/2020,1.534330397,0,1.66875
12/13/2020,1.520041179,0,1.681542969
12/14/2020,1.509231782,0,1.69140625
12/15/2020,1.502389094,0,1.697753906
12/16/2020,1.5,0,1.7
12/17/2020,1.501317352,0,1.696047943
12/18/2020,1.505096642,0,1.684710075
12/19/2020,1.511078717,0,1.666763848
12/20/2020,1.519004427,0,1.642986718
12/21/2020,1.52861462,0,1.614156139
12/22/2020,1.539650146,0,1.581049563
12/23/2020,1.551851852,0,1.544444444
12/24/2020,1.564960587,0,1.505118238
12/25/2020,1.578717201,0,1.463848397
12/26/2020,1.592862542,0,1.421412374
12/27/2020,1.607137458,0,1.378587626
12/28/2020,1.621282799,0,1.336151603
12/29/2020,1.635039413,0,1.294881762
12/30/2020,1.648148148,0,1.255555556
12/31/2020,1.660349854,0,1.218950437
1/1/2021,1.67138538,0,1.185843861
1/2/2021,1.680995573,0,1.157013282
1/3/2021,1.688921283,0,1.133236152
1/4/2021,1.694903358,0,1.115289925
1/5/2021,1.698682648,0,1.103952057
1/6/2021,1.7,0,1.1
1/7/2021,1.7,0.000108105,1.102402332
1/8/2021,1.7,0.000424023,1.109422741
1/9/2021,1.7,0.00093516,1.120781341
1/10/2021,1.7,0.001628921,1.136198251
1/11/2021,1.7,0.002492711,1.155393586
1/12/2021,1.7,0.003513936,1.178087464
1/13/2021,1.7,0.00468,1.204
1/14/2021,1.7,0.005978309,1.232851312
1/15/2021,1.7,0.007396268,1.264361516
1/16/2021,1.7,0.008921283,1.298250729
1/17/2021,1.7,0.010540758,1.334239067
1/18/2021,1.7,0.012242099,1.372046647
1/19/2021,1.7,0.014012711,1.411393586
1/20/2021,1.7,0.01584,1.452
1/21/2021,1.7,0.01771137,1.493586006
1/22/2021,1.7,0.019614227,1.53587172
1/23/2021,1.7,0.021535977,1.578577259
1/24/2021,1.7,0.023464023,1.621422741
1/25/2021,1.7,0.025385773,1.66412828
1/26/2021,1.7,0.02728863,1.706413994
1/27/2021,1.7,0.02916,1.748
1/28/2021,1.7,0.030987289,1.788606414
1/29/2021,1.7,0.032757901,1.827953353
1/30/2021,1.7,0.034459242,1.865760933
1/31/2021,1.7,0.036078717,1.901749271
2/1/2021,1.7,0.037603732,1.935638484
2/2/2021,1.7,0.039021691,1.967148688
2/3/2021,1.7,0.04032,1.996
2/4/2021,1.7,0.041486064,2.021912536
2/5/2021,1.7,0.042507289,2.044606414
2/6/2021,1.7,0.043371079,2.063801749
2/7/2021,1.7,0.04406484,2.079218659
2/8/2021,1.7,0.044575977,2.090577259
2/9/2021,1.7,0.044891895,2.097597668
2/10/2021,1.7,0.045,2.1
2/11/2021,1.704108965,0.044831906,2.095778972
2/12/2021,1.716034985,0.044344023,2.083527697
2/13/2021,1.735176749,0.043560951,2.063863885
2/14/2021,1.760932945,0.042507289,2.037405248
2/15/2021,1.792702259,0.041207635,2.004769497
2/16/2021,1.829883382,0.039686589,1.966574344
2/17/2021,1.871875,0.03796875,1.9234375
2/18/2021,1.918075802,0.036078717,1.875976676
2/19/2021,1.967884475,0.03404109,1.824809585
2/20/2021,2.020699708,0.031880466,1.770553936
2/21/2021,2.07592019,0.029621447,1.713827442
2/22/2021,2.132944606,0.02728863,1.655247813
2/23/2021,2.191171647,0.024906614,1.595432762
2/24/2021,2.25,0.0225,1.535
2/25/2021,2.308828353,0.020093386,1.474567238
2/26/2021,2.367055394,0.01771137,1.414752187
2/27/2021,2.42407981,0.015378553,1.356172558
2/28/2021,2.479300292,0.013119534,1.299446064
3/1/2021,2.532115525,0.01095891,1.245190415
3/2/2021,2.581924198,0.008921283,1.194023324
3/3/2021,2.628125,0.00703125,1.1465625
3/4/2021,2.670116618,0.005313411,1.103425656
3/5/2021,2.707297741,0.003792365,1.065230503
3/6/2021,2.739067055,0.002492711,1.032594752
3/7/2021,2.764823251,0.001439049,1.006136115
3/8/2021,2.783965015,0.000655977,0.986472303
3/9/2021,2.795891035,0.000168094,0.974221028
3/10/2021,2.8,0,0.97
3/11/2021,2.798257411,5.92E-05,0.973820539
3/12/2021,2.793193653,0.000231416,0.985013247
3/13/2021,2.785054738,0.000508139,1.003174759
3/14/2021,2.774086678,0.000881053,1.027901708
3/15/2021,2.760535487,0.001341793,1.058790731
3/16/2021,2.744647177,0.001881996,1.095438462
3/17/2021,2.72666776,0.002493296,1.137441537
3/18/2021,2.706843249,0.00316733,1.184396589
3/19/2021,2.685419656,0.003895732,1.235900254
3/20/2021,2.662642995,0.004670138,1.291549167
3/21/2021,2.638759277,0.005482185,1.350939962
3/22/2021,2.614014515,0.006323506,1.413669275
3/23/2021,2.588654721,0.007185739,1.479333741
3/24/2021,2.562925909,0.008060519,1.547529993
3/25/2021,2.537074091,0.008939481,1.617854669
3/26/2021,2.511345279,0.009814261,1.689904401
3/27/2021,2.485985485,0.010676494,1.763275825
3/28/2021,2.461240723,0.011517815,1.837565576
3/29/2021,2.437357005,0.012329862,1.912370289
3/30/2021,2.414580344,0.013104268,1.987286599
3/31/2021,2.393156751,0.01383267,2.061911141
4/1/2021,2.37333224,0.014506704,2.135840549
4/2/2021,2.355352823,0.015118004,2.208671458
4/3/2021,2.339464513,0.015658207,2.280000504
4/4/2021,2.325913322,0.016118947,2.349424321
4/5/2021,2.314945262,0.016491861,2.416539544
4/6/2021,2.306806347,0.016768584,2.480942809
4/7/2021,2.301742589,0.016940752,2.542230749
4/8/2021,2.3,0.017,2.6
4/9/2021,2.311238124,0.017,2.6578336
4/10/2021,2.343814459,0.017,2.719280419
4/11/2021,2.396021948,0.017,2.783885844
4/12/2021,2.466153534,0.017,2.851195259
4/13/2021,2.552502159,0.017,2.920754052
4/14/2021,2.653360768,0.017,2.992107606
4/15/2021,2.767022304,0.017,3.064801307
4/16/2021,2.891779708,0.017,3.138380542
4/17/2021,3.025925926,0.017,3.212390695
4/18/2021,3.167753899,0.017,3.286377152
4/19/2021,3.315556572,0.017,3.359885298
4/20/2021,3.467626886,0.017,3.43246052
4/21/2021,3.622257786,0.017,3.503648202
4/22/2021,3.777742214,0.017,3.57299373
4/23/2021,3.932373114,0.017,3.64004249
4/24/2021,4.084443428,0.017,3.704339867
4/25/2021,4.232246101,0.017,3.765431246
4/26/2021,4.374074074,0.017,3.822862014
4/27/2021,4.508220292,0.017,3.876177555
4/28/2021,4.632977696,0.017,3.924923256
4/29/2021,4.746639232,0.017,3.968644501
4/30/2021,4.847497841,0.017,4.006886677
5/1/2021,4.933846466,0.017,4.039195168
5/2/2021,5.003978052,0.017,4.06511536
5/3/2021,5.056185541,0.017,4.084192639
5/4/2021,5.088761876,0.017,4.095972391
5/5/2021,5.1,0.017,4.1
5/6/2021,5.0968032,0.017000574,4.0991712
5/7/2021,5.0873856,0.01700228,4.0967296
5/8/2021,5.0720064,0.017005098,4.0927424
5/9/2021,5.0509248,0.017009006,4.0872768
5/10/2021,5.0244,0.017013984,4.0804
5/11/2021,4.9926912,0.01702001,4.0721792
5/12/2021,4.9560576,0.017027062,4.0626816
5/13/2021,4.9147584,0.017035119,4.0519744
5/14/2021,4.8690528,0.017044161,4.0401248
5/15/2021,4.8192,0.017054166,4.0272
5/16/2021,4.7654592,0.017065112,4.0132672
5/17/2021,4.7080896,0.017076979,3.9983936
5/18/2021,4.6473504,0.017089745,3.9826464
