Date ,South Platte Above Cheesman Flowrate (cfs),South Platte Below Cheesman Downstream (cfs) ,"Cheesman Air Temperature, Low (C)","Water Temperature, Cheesman, low (C)","Cheesman Air Temperature, High (C)","Water Temperature, Cheesman, high (C)",Roberts Tunnel Flowrate (cfs),"Strontia Springs Temperature, high (C)","Strontia Springs Temperature, low (C)"
9/19/2012,88.2,172.0,5.0,8.6314,25.0,19.1634,233.7,25.0,6.666666666666666
9/20/2012,85.2,151.0,5.0,8.6314,24.444444444444443,18.870844444444444,233.7,24.444444444444443,7.777777777777778
9/21/2012,84.4,151.0,4.444444444444445,8.338844444444444,24.444444444444443,18.870844444444444,233.7,22.77777777777778,4.444444444444445
9/22/2012,83.8,175.0,5.0,8.6314,26.666666666666664,20.041066666666666,233.7,23.333333333333332,7.777777777777778
9/23/2012,82.4,205.0,6.666666666666666,9.509066666666666,27.22222222222222,20.33362222222222,234.65,28.333333333333332,10.0
9/24/2012,82.4,205.0,4.444444444444445,8.338844444444444,20.555555555555554,16.822955555555552,235.6,23.88888888888889,6.666666666666666
9/25/2012,84.2,148.0,3.888888888888889,8.046288888888888,13.88888888888889,13.312288888888888,234.65,18.88888888888889,6.666666666666666
9/26/2012,85.2,99.2,3.888888888888889,8.046288888888888,18.88888888888889,15.94528888888889,199.5,17.77777777777778,6.666666666666666
9/27/2012,86.6,99.2,2.7777777777777777,7.4611777777777775,16.666666666666668,14.775066666666667,139.65,16.666666666666668,5.555555555555555
9/28/2012,85.7,99.2,2.7777777777777777,7.4611777777777775,21.11111111111111,17.11551111111111,139.65,21.11111111111111,5.555555555555555
9/29/2012,85.7,99.2,5.555555555555555,8.923955555555555,22.22222222222222,17.700622222222222,139.65,23.333333333333332,7.777777777777778
9/30/2012,85.1,99.2,6.111111111111111,9.21651111111111,18.88888888888889,15.94528888888889,139.65,20.555555555555554,5.555555555555555
10/1/2012,83.3,99.2,2.7777777777777777,7.4611777777777775,17.77777777777778,15.360177777777778,159.9166667,18.333333333333332,5.0
10/2/2012,81.69135674,99.2,2.2222222222222223,7.168622222222222,26.11111111111111,19.74851111111111,188.1,26.11111111111111,2.2222222222222223
10/3/2012,80.1137787,95.6,0.0,5.9984,26.11111111111111,19.74851111111111,149.1104167,26.666666666666664,1.1111111111111112
10/4/2012,78.56666597,92.1,-1.1111111111111112,5.413288888888889,10.0,11.2644,141.3916667,8.333333333333334,-2.2222222222222223
10/5/2012,77.04943022,91.9,-1.1111111111111112,5.413288888888889,8.88888888888889,10.67928888888889,218.025,6.666666666666666,-1.1111111111111112
10/6/2012,75.56149449,92.0,-3.333333333333333,4.243066666666667,5.0,8.6314,219.45,1.1111111111111112,-3.333333333333333
10/7/2012,74.10229294,91.7,-2.2222222222222223,4.828177777777778,12.777777777777777,12.727177777777776,215.175,11.11111111111111,-2.7777777777777777
10/8/2012,72.67127068,91.3,-1.1111111111111112,5.413288888888889,22.77777777777778,17.993177777777777,168.625,21.11111111111111,-2.2222222222222223
10/9/2012,71.26788353,91.3,-1.1111111111111112,5.413288888888889,19.444444444444443,16.23784444444444,138.225,10.555555555555555,-2.2222222222222223
