SAMPLE_NUMBER,SAMPLED_DATE,SAMPLE_NAME,SAMPLING_POINT_DESCRIPTION,SITE,FACILITY,ANALYTE,FORMATTED_ENTRY,UNITS,DEPTH,Target,Date,Time
515652,10/17/18 14:40,RS-MR-01-1,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4,ng/L,1,MLOWH,10/17/2018,14:40:00
515663,10/17/18 14:55,RS-MR-01-9,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,6,ng/L,9,MLOWM,10/17/2018,14:55:00
515670,10/17/18 15:00,RS-MR-01-18,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4,ng/L,18,MLOWL,10/17/2018,15:00:00
517995,10/23/18 13:37,RS-MR-01-1,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,6,ng/L,1,MLOWH,10/23/2018,13:37:00
517999,10/23/18 13:43,RS-MR-01-9,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4,ng/L,9,MLOWM,10/23/2018,13:43:00
518001,10/23/18 13:53,RS-MR-01-18,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4,ng/L,18,MLOWL,10/23/2018,13:53:00
518707,10/30/18 9:15,RS-MR-01-1,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,3,ng/L,1,MLOWH,10/30/2018,9:15:00
518710,10/30/18 9:20,RS-MR-01-9,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,3,ng/L,9,MLOWM,10/30/2018,9:20:00
518712,10/30/18 9:30,RS-MR-01-18,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4,ng/L,18,MLOWL,10/30/2018,9:30:00
519071,11/7/18 14:05,RS-MR-01-1,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4,ng/L,1,MLOWH,11/7/2018,14:05:00
519076,11/7/18 14:15,RS-MR-01-9,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,5,ng/L,9,MLOWM,11/7/2018,14:15:00
519078,11/7/18 14:25,RS-MR-01-18,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4,ng/L,18,MLOWL,11/7/2018,14:25:00
521768,11/14/18 13:26,RS-MR-01-1,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,49,ng/L,1,MLOWH,11/14/2018,13:26:00
521772,11/14/18 13:42,RS-MR-01-9,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,6,ng/L,9,MLOWM,11/14/2018,13:42:00
